date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:39	67105/67105	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2012:27:32%20GMT	https://imedical-theme.firebaseapp.com/	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/index.html	(from )
14:24:41	4169/4169	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Sep%202020%2012:27:34%20GMT	https://imedical-theme.firebaseapp.com/robots.txt		(from )
14:24:42	568/568	---M-Z	200	added ('OK')	image/png	date:Wed,%2016%20Sep%202020%2012:27:35%20GMT	https://imedical-theme.firebaseapp.com/assets/images/favicon/favicon.png	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/images/favicon/favicon.png	(from https://imedical-theme.firebaseapp.com/)
14:24:44	146010/146010	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:36%20GMT	https://imedical-theme.firebaseapp.com/assets/css/bootstrap.min.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/css/bootstrap.min.css	(from https://imedical-theme.firebaseapp.com/)
14:24:45	29063/29063	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:36%20GMT	https://imedical-theme.firebaseapp.com/assets/vendors/font-awesome/css/font-awesome.min.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/vendors/font-awesome/css/font-awesome.min.css	(from https://imedical-theme.firebaseapp.com/)
14:24:48	8362/8362	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:41%20GMT	https://imedical-theme.firebaseapp.com/assets/vendors/linearicons/css/linearicons.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/vendors/linearicons/css/linearicons.css	(from https://imedical-theme.firebaseapp.com/)
14:24:49	8022/8022	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:41%20GMT	https://imedical-theme.firebaseapp.com/assets/vendors/webfont-medical-icons/css/wfmi-style.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/vendors/webfont-medical-icons/css/wfmi-style.css	(from https://imedical-theme.firebaseapp.com/)
14:24:49	2820/2820	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:42%20GMT	https://imedical-theme.firebaseapp.com/assets/vendors/owl-carousel/owl.carousel.min.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/vendors/owl-carousel/owl.carousel.min.css	(from https://imedical-theme.firebaseapp.com/)
14:24:50	1003/1003	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:43%20GMT	https://imedical-theme.firebaseapp.com/assets/vendors/owl-carousel/owl.theme.min.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/vendors/owl-carousel/owl.theme.min.css	(from https://imedical-theme.firebaseapp.com/)
14:24:51	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:44%20GMT	https://imedical-theme.firebaseapp.com/assets/vendors/magnific-popup/css/magnific-popup.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/vendors/magnific-popup/css/magnific-popup.css	(from https://imedical-theme.firebaseapp.com/)
14:24:53	8656/8656	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:45%20GMT	https://imedical-theme.firebaseapp.com/assets/vendors/YTPlayer/css/jquery.mb.YTPlayer.min.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/vendors/YTPlayer/css/jquery.mb.YTPlayer.min.css	(from https://imedical-theme.firebaseapp.com/)
14:24:53	4052/4052	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:46%20GMT	https://imedical-theme.firebaseapp.com/assets/vendors/bootstrap-datepicker/css/bootstrap.datepicker.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/vendors/bootstrap-datepicker/css/bootstrap.datepicker.css	(from https://imedical-theme.firebaseapp.com/)
14:24:55	80232/80232	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:47%20GMT	https://imedical-theme.firebaseapp.com/assets/css/base.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/css/base.css	(from https://imedical-theme.firebaseapp.com/)
14:24:55	60616/60616	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:48%20GMT	https://imedical-theme.firebaseapp.com/assets/css/style.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/css/style.css	(from https://imedical-theme.firebaseapp.com/)
14:24:55	771/771	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Sep%202020%2012:27:48%20GMT	https://imedical-theme.firebaseapp.com/assets/css/demo.css	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/css/demo.css	(from https://imedical-theme.firebaseapp.com/)
14:24:58	22756/22756	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Sep%202020%2012:27:51%20GMT	https://imedical-theme.firebaseapp.com/index.php	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/index.php	(from https://imedical-theme.firebaseapp.com/)
14:24:59	3195/3195	---M-Z	200	added ('OK')	image/png	date:Wed,%2016%20Sep%202020%2012:27:52%20GMT	https://imedical-theme.firebaseapp.com/assets/images/logo.png	C:/Mes%20Sites%20Web1/new_projet3/imedical-theme.firebaseapp.com/assets/images/logo.png	(from https://imedical-theme.firebaseapp.com/)
